guid,name,steamid
FF0110000114ADD229,Toxic_AnGeloz | Privateer,76561198307201577
FF011000010DD8AF31,MXBA - Trainer,76561198192570161
FF0110000141FAE44F,waka.,76561199067227215
FF0110000140C878BB,Austen | Ryder Racing,76561199047145659
FF0110000113655260,IlluminatiNation | Platypus MX,76561198285673056
FF01100001063DC145,Yogi | Team T,76561198064976197
FF0110000108045173,PJ | Deviant,76561198094766451
FF011000011BE4BE4E,Kleemann | TRYHARD,76561198428241486
FF01100001021AD849,Gee-P | OldDadz,76561197995579465
FF011000010E147AE0,Woozah,76561198196488928
FF011000010707D863,Stixxx,76561198078220387
FF011000010D2811FE,Cir_Je,76561198180995582
FF01100001162CBDFC,Galaxies | AM Nation,76561198332296700
FF0110000119E37A3B,MAJORPAIN | LIBERTY x GCA,76561198394604091
FF0110000119A19F7B,Razulaxr | Looking for team,76561198390288251
FF011000013F38D695,Zalador | Affinity,76561199020955285
FF011000010DB68641,muscuttj,76561198190331457
FF011000011515AF8B,Andersen,76561198314008459
FF011000011AEB4473,Master,76561198411891827
FF011000010C74DBAF,Josh Plymale | LateNightCrew,76561198169250735
FF011000013547DB4F,Talan | Precision,76561198854167375
FF0110000133023DD2,Herrero | FBR,76561198816050642
FF01100001057687EC,Wimp,76561198051919852
FF011000010AD498E4,MotionMoto_Media | Motion Mx,76561198141970660
FF0110000103368D6B,Scandi,76561198014172523
FF011000013206E6CF,huGyton,76561198799578831
FF011000010C542826,Beefy,76561198167107622
FF01100001120D7C82,Zogg,76561198263139458
FF011000013E40A46A,DylPickle | MXB-Mods | BLK LBL.,76561199004689514
FF011000013E5A9182,Nathan | Phils,76561199006388610
FF011000014406F611,murfitt500,76561199101572625
FF01100001120F8802,owen,76561198263273474
FF0110000114FAF8FD,Alex Thornton | THMX Co. | AET,76561198312257789
FF011000010BC50BD6,Carl | Team T,76561198157728726
FF0110000144B30380,morant,76561199112848256
FF01100001178259A2,Kristofers,76561198354684322
FF01100001177669B4,Rie | 2T4U,76561198353902004
FF011000013EACA780,Skoochie,76561199011768192
FF0110000118315FC9,?th?JamJam,76561198366154697
FF01100001075F0FE1,Dorian Marrot | Mostra x Kenny,76561198083936225
FF011000010CE73E9A,Maplar | MotoMart,76561198176747162
FF011000013EFA9D4C,big papi,76561199016877388
FF011000010AC509CE,zankan,76561198140950990
FF0110000112AB85DE,isaiascabral199,76561198273496542
FF011000010703B24E,lmscl,76561198077948494
FF011000013679BFD4,Nick van Meel | Cock Gobblers,76561198874214356
FF0110000108109B7F,Svindelmannen,76561198095571839
FF011000014B0D59AC,Craig Visionz || Privateer,76561199219431852
FF01100001062D10D8,barry c,76561198063882456
FF011000010B01B9CD,HELLO MY NAME IS JEFF,76561198144928205
FF011000010D5F5F9B,Ando | Blitz Co.,76561198184619931
FF0110000144DCF2C3,StudioGamer | PPR x TTT,76561199115596483
FF011000010D37935D,loading...,76561198182011741
FF01100001194607D6,PUKKI,76561198384285654
FF011000010AB4C9E5,K-Morg 724,76561198139886053
FF011000010EE400EF,El Franquito pa,76561198210089199
FF0110000142EB27C5,dillywlly948,76561199082973125
FF0110000133DA736D,snuffys boys YT,76561198830220141
FF011000013EDD3CBF,David I,76561199014952127
FF01100001125CBB81,KNVisuals | Frosty Mx x Burbmot,76561198268332929
FF0110000109938CFD,LegendaryNugget,76561198120930557
FF01100001068400B7,henke,76561198069579959
FF0110000108EE2E4E,Christopher De Sousa | LMC x FI,76561198110092878
FF011000010A23A78C,Cocow | Team FGC,76561198130374540
FF011000014D4B7A22,Noah | Vital MX x Canvas,76561199257057826
FF0110000108A85E60,Kreo | MXB-Mods,76561198105517664
FF011000011C172D6A,J-Scruby I DeLBLiFE,76561198431546730
FF0110000114FF419E,Dash,76561198312538526
FF011000010A3880D5,Kewin Feula | Feulatracks,76561198131740885
FF011000010524F0E8,boah2k,76561198046572776
FF011000014A4952B9,S2k#4Frazz,76561199206585017
FF011000013D84D458,Brick,76561198992381016
FF0110000106391317,Goth_Xerox,76561198064669463
FF011000010A4F3139,Steeze | Bud Racing,76561198133227833
FF01100001120C1FC9,tuttricky,76561198263050185
FF01100001118035E9,marrshh,76561198253880809
FF011000011B568848,realmtanks,76561198418921544
FF011000013EDA8B03,LT.Reaper | NMR,76561199014775555
FF0110000108FC3E62,Stany Debruyne,76561198111014498
FF01100001141CE5F5,Oeht | BEP Racing,76561198297703925
FF0110000108C2863D,SpeedyClaxton,76561198107231805
FF01100001005FB3DF,philiaN,76561197966537695
FF0110000105DB1052,Vatsson,76561198058508370
FF011000010D639F5F,Scott Baker,76561198184898399
FF0110000142147358,bishybop78,76561199068902232
FF0110000145673CB5,MadMaxiPads,76561199124659381
FF0110000143252647,Neal IV | Solitude Visuals x ND,76561199086773831
FF011000011712F69E,K1nGG?,76561198347384478
FF011000010B0B449C,Digiornos | Ryder Racing,76561198145553564
FF0110000106E9CDA0,BigFluffyChiken,76561198076251552
FF0110000144CA3B93,Epic-rider,76561199114369939
FF011000013B12A10F,Strattify,76561198951342351
FF011000010E6D54D0,Abroopt,76561198202311888
FF0110000131FA41D9,Zlitty / T&R,76561198798750169
FF01100001403DA735,JOE_ROGAN | RD Factory Racing,76561199038048053
FF011000014ACC62F4,Peppa | KEEP IT TWISTED,76561199215174388
FF011000010CB44B47,LuigiB [CZE],76561198173408071
FF0110000105FE21D7,Cameron H | Forward Racing,76561198060806615
FF01100001434B2A19,Will Ballard | NMR,76561199089265177
FF011000013D0A688B,monkeyfucker,76561198984358027
FF0110000114767B38,Vz,76561198303574840
FF011000014B31C492,Premiun,76561199221818514
3F6D625E,Unknown,
FF011000014041F63D,Jerem#734 | DTCrew,76561199038330429
FF0110000106C5E1C1,Benjison | MotoMart,76561198073897409
FF01100001433507BA,RichRips14,76561199087814586
FF0110000105F22B2F,anakin,76561198060022575
FF011000013BA47FE9,Nate,76561198960902121
FF011000010782901F,J. Heinz | that57rider,76561198086262815
FF011000014BA5C37E,Zyfrus | GRD,76561199229420414
FF0110000143704543,Ayden Confer | OnlyFans,76561199091696963
FF0110000113607AEA,Hunt | Satellite x EarthWurx,76561198285355754
FF0110000143640185,buttwhip69,76561199090893189
FF0110000108BE8779,sockmonkey,76561198106969977
